BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	PCR_plate	PCR_well	Run	SRA_Sample	Sample_Name	host_subject_id	replicate	seq_lab	seq_run	titration	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	isol_growth_condt	lat_lon	strain
SAMN09634730	SRX4371805	E01JH0004_2_2_C7_JHU_2	7/12/18	73	46	2	C7	SRR7502350	SRS3529523	E01JH0004_2_2_C7	E01JH0004	PCR replicate 4	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634729	SRX4371806	E01JH0016_0_2_C6_JHU_2	7/12/18	57	36	2	C6	SRR7502352	SRS3529521	E01JH0016_0_2_C6	E01JH0016	PCR replicate 4	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634738	SRX4371813	E01JH0016_3_2_D3_JHU_2	7/12/18	43	28	2	D3	SRR7502343	SRS3529525	E01JH0016_3_2_D3	E01JH0016	PCR replicate 3	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634737	SRX4371814	E01JH0011_3_2_D2_JHU_2	7/12/18	26	16	2	D2	SRR7502341	SRS3529526	E01JH0011_3_2_D2	E01JH0011	PCR replicate 3	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634668	SRX4371815	E01JH0038_5_1_F5_JHU_2	7/12/18	51	31	1	F5	SRR7502340	SRS3529565	E01JH0038_5_1_F5	E01JH0038	PCR replicate 2	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634667	SRX4371817	E01JH0017_5_1_F4_JHU_2	7/12/18	50	32	1	F4	SRR7502339	SRS3529562	E01JH0017_5_1_F4	E01JH0017	PCR replicate 2	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634662	SRX4371821	E01JH0017_5_1_F10_JHU_2	7/12/18	54	34	1	F10	SRR7502337	SRS3529647	E01JH0017_5_1_F10	E01JH0017	PCR replicate 1	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634661	SRX4371822	E01JH0004_5_1_F1_JHU_2	7/12/18	87	56	1	F1	SRR7502334	SRS3529646	E01JH0004_5_1_F1	E01JH0004	PCR replicate 1	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634622	SRX4371826	E01JH0004_1_1_B7_JHU_2	7/12/18	45	28	1	B7	SRR7502332	SRS3529473	E01JH0004_1_1_B7	E01JH0004	PCR replicate 2	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634621	SRX4371827	E01JH0011_0_1_B6_JHU_2	7/12/18	50	31	1	B6	SRR7502329	SRS3529472	E01JH0011_0_1_B6	E01JH0011	PCR replicate 2	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634620	SRX4371828	E01JH0038_1_1_B5_JHU_2	7/12/18	45	28	1	B5	SRR7502328	SRS3529466	E01JH0038_1_1_B5	E01JH0038	PCR replicate 2	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634619	SRX4371829	E01JH0017_1_1_B4_JHU_2	7/12/18	30	19	1	B4	SRR7502326	SRS3529467	E01JH0017_1_1_B4	E01JH0017	PCR replicate 2	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634625	SRX4371831	E01JH0004_2_1_C1_JHU_2	7/12/18	81	51	1	C1	SRR7502327	SRS3529476	E01JH0004_2_1_C1	E01JH0004	PCR replicate 1	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634626	SRX4371830	E01JH0017_2_1_C10_JHU_2	7/12/18	55	35	1	C10	SRR7502522	SRS3529477	E01JH0017_2_1_C10	E01JH0017	PCR replicate 1	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634624	SRX4371832	E01JH0016_1_1_B9_JHU_2	7/12/18	44	28	1	B9	SRR7502521	SRS3529471	E01JH0016_1_1_B9	E01JH0016	PCR replicate 2	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634623	SRX4371833	E01JH0011_1_1_B8_JHU_2	7/12/18	34	21	1	B8	SRR7502520	SRS3529470	E01JH0011_1_1_B8	E01JH0011	PCR replicate 2	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634628	SRX4371834	E01JH0016_0_1_C12_JHU_2	7/12/18	83	52	1	C12	SRR7502518	SRS3529599	E01JH0016_0_1_C12	E01JH0016	PCR replicate 1	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634627	SRX4371835	E01JH0038_2_1_C11_JHU_2	7/12/18	62	38	1	C11	SRR7502517	SRS3529598	E01JH0038_2_1_C11	E01JH0038	PCR replicate 1	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634675	SRX4371856	E01JH0038_10_1_G11_JHU_2	7/12/18	61	38	1	G11	SRR7502499	SRS3529539	E01JH0038_10_1_G11	E01JH0038	PCR replicate 1	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634676	SRX4371857	E01JH0038_0_1_G12_JHU_2	7/12/18	69	43	1	G12	SRR7502496	SRS3529540	E01JH0038_0_1_G12	E01JH0038	PCR replicate 1	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634673	SRX4371858	E01JH0004_10_1_G1_JHU_2	7/12/18	79	50	1	G1	SRR7502495	SRS3529481	E01JH0004_10_1_G1	E01JH0004	PCR replicate 1	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634674	SRX4371859	E01JH0017_10_1_G10_JHU_2	7/12/18	49	31	1	G10	SRR7502493	SRS3529478	E01JH0017_10_1_G10	E01JH0017	PCR replicate 1	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634671	SRX4371860	E01JH0011_5_1_F8_JHU_2	7/12/18	44	28	1	F8	SRR7502492	SRS3529537	E01JH0011_5_1_F8	E01JH0011	PCR replicate 2	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634672	SRX4371861	E01JH0016_5_1_F9_JHU_2	7/12/18	1	1	1	F9	SRR7502494	SRS3529538	E01JH0016_5_1_F9	E01JH0016	PCR replicate 2	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634669	SRX4371862	E01JH0004_0_1_F6_JHU_2	7/12/18	49	31	1	F6	SRR7502491	SRS3529566	E01JH0004_0_1_F6	E01JH0004	PCR replicate 2	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634670	SRX4371863	E01JH0004_5_1_F7_JHU_2	7/12/18	43	27	1	F7	SRR7502490	SRS3529563	E01JH0004_5_1_F7	E01JH0004	PCR replicate 2	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634677	SRX4371865	E01JH0011_10_1_G2_JHU_2	7/12/18	63	39	1	G2	SRR7502487	SRS3529505	E01JH0011_10_1_G2	E01JH0011	PCR replicate 1	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634678	SRX4371866	E01JH0016_10_1_G3_JHU_2	7/12/18	58	37	1	G3	SRR7502489	SRS3529508	E01JH0016_10_1_G3	E01JH0016	PCR replicate 1	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
